,angle,batt kwh,total cost,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2
0,s20,25,29587.918336415874,"(39.972, 39.964, 39.956)","(49.368, 49.026, 44.235)","(50.131, 50.131, 50.131)","(80.0, 80.0, 80.0)","(54.974, 54.974, 54.974)","(80.0, 80.0, 80.0)","(45.345, 22.954, 22.219)","(52.34, 26.762, 23.35)","(45.911, 29.657, 21.414)","(46.522, 32.274, 20.189)"
1,w90,25,29220.9818897997,"(42.872, 42.231, 39.598)","(37.925, 37.868, 37.065)","(46.501, 46.501, 46.501)","(80.0, 80.0, 80.0)","(53.327, 53.276, 53.273)","(79.864, 79.851, 79.795)","(52.274, 23.188, 22.209)","(52.584, 23.836, 22.665)","(48.039, 32.078, 21.383)","(48.488, 32.036, 20.35)"
2,s20w90,25,29133.042634798465,"(42.817, 42.027, 39.699)","(37.935, 37.935, 37.935)","(47.478, 47.478, 47.478)","(80.0, 80.0, 80.0)","(53.938, 53.938, 53.938)","(79.85, 79.814, 79.795)","(45.822, 23.541, 22.257)","(53.0, 26.0, 23.0)","(46.511, 30.771, 21.363)","(46.954, 32.848, 20.367)"
3,s20,50,23747.117543439075,"(35.92, 35.908, 29.73)","(32.81, 32.81, 32.761)","(43.321, 43.321, 43.319)","(42.188, 42.155, 41.839)","(47.081, 47.081, 47.047)","(62.374, 62.374, 62.374)","(33.0, 19.0, 16.0)","(39.65, 20.094, 19.191)","(38.389, 38.37, 16.704)","(36.935, 28.817, 15.023)"
4,w90,50,22972.02021433348,"(38.906, 36.103, 28.866)","(27.284, 27.284, 27.27)","(37.198, 37.198, 37.198)","(38.18, 38.18, 38.18)","(45.265, 45.152, 43.872)","(62.29, 62.29, 62.29)","(42.846, 16.039, 15.751)","(41.84, 23.721, 17.628)","(40.796, 40.796, 16.845)","(37.589, 28.946, 15.156)"
5,s20w90,50,22875.730014252273,"(36.113, 33.889, 29.678)","(29.457, 29.457, 29.457)","(38.304, 38.271, 38.254)","(38.685, 38.685, 38.685)","(44.693, 44.666, 44.659)","(62.292, 62.292, 62.292)","(35.614, 15.95, 15.684)","(39.742, 20.781, 18.607)","(39.653, 39.641, 16.733)","(37.099, 28.955, 15.083)"
6,s20,75,19797.232362095714,"(32.746, 29.912, 22.691)","(25.854, 25.854, 25.846)","(36.932, 36.932, 36.886)","(34.336, 34.336, 34.227)","(40.0, 40.0, 40.0)","(50.76, 50.76, 50.605)","(28.777, 19.204, 10.929)","(32.727, 19.267, 14.677)","(38.558, 37.882, 12.207)","(28.205, 28.205, 10.48)"
7,w90,75,18720.901551864717,"(33.039, 30.507, 20.824)","(19.609, 19.609, 19.609)","(28.472, 28.472, 28.394)","(30.896, 30.865, 30.239)","(36.673, 36.673, 36.673)","(55.516, 49.3, 48.615)","(35.666, 19.317, 9.614)","(35.863, 25.039, 12.668)","(40.865, 40.865, 12.26)","(30.502, 30.5, 10.679)"
8,s20w90,75,19057.52901771156,"(32.511, 32.511, 20.889)","(29.782, 29.782, 20.695)","(31.546, 31.457, 31.326)","(31.891, 31.842, 30.995)","(37.257, 37.257, 37.257)","(51.986, 51.886, 49.16)","(31.594, 15.999, 10.507)","(32.898, 25.023, 12.99)","(39.753, 39.467, 12.237)","(28.65, 28.419, 10.556)"
9,s20,100,16230.191912375514,"(30.165, 29.836, 15.24)","(19.438, 19.438, 19.408)","(30.771, 30.771, 30.771)","(28.187, 28.187, 28.187)","(34.437, 34.408, 34.358)","(42.54, 42.532, 40.628)","(22.633, 14.966, 6.484)","(26.867, 26.77, 9.035)","(38.303, 38.277, 7.828)","(22.245, 22.245, 7.663)"
10,w90,100,15494.918040120903,"(29.895, 29.853, 12.433)","(19.787, 19.787, 10.555)","(22.423, 22.423, 20.506)","(28.563, 28.563, 21.575)","(32.049, 32.049, 30.431)","(45.424, 39.727, 36.638)","(31.319, 30.284, 4.353)","(35.792, 25.846, 7.431)","(40.785, 40.709, 7.887)","(29.336, 29.257, 7.474)"
11,s20w90,100,15278.618391609556,"(31.629, 28.035, 13.172)","(14.467, 14.467, 14.467)","(25.343, 25.295, 25.285)","(25.436, 25.436, 24.69)","(31.591, 31.591, 31.591)","(44.832, 39.831, 38.373)","(25.719, 19.265, 5.168)","(32.0, 26.0, 8.0)","(39.639, 39.639, 7.755)","(21.417, 21.417, 8.366)"
12,s20,125,13388.174196425225,"(32.824, 29.062, 7.926)","(15.337, 15.171, 13.156)","(25.123, 25.123, 25.123)","(22.799, 22.799, 22.799)","(29.181, 29.181, 29.181)","(36.888, 36.864, 32.338)","(18.512, 18.512, 1.697)","(27.483, 23.328, 5.017)","(38.365, 38.319, 3.245)","(15.617, 15.617, 6.171)"
13,w90,125,12682.016668785762,"(32.009, 31.942, 3.638)","(13.257, 12.922, 3.059)","(19.985, 19.951, 13.836)","(21.163, 21.163, 14.928)","(30.255, 29.705, 24.212)","(38.699, 38.042, 27.577)","(30.942, 30.942, 0.0)","(33.665, 33.663, 2.102)","(40.018, 39.973, 4.338)","(29.119, 29.062, 3.206)"
