,angle,batt kwh,total cost,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2
0,s20,25,29145.3131879363,"(40.0, 40.0, 40.0)","(51.915, 51.467, 43.819)","(49.247, 49.247, 49.247)","(80.0, 80.0, 80.0)","(55.357, 55.357, 54.689)","(79.806, 79.806, 79.806)","(41.049, 23.105, 22.231)","(51.195, 30.825, 23.066)","(43.158, 27.037, 21.242)","(44.775, 23.476, 20.171)"
1,w90,25,28598.49467804828,"(40.04, 39.977, 39.959)","(42.244, 37.144, 37.04)","(51.228, 50.933, 46.491)","(80.0, 80.0, 80.0)","(51.845, 51.845, 51.839)","(79.858, 79.806, 79.798)","(41.918, 23.36, 22.267)","(51.759, 31.635, 21.634)","(44.882, 27.459, 21.506)","(46.446, 28.802, 20.228)"
2,s20w90,25,28619.537655343323,"(40.007, 39.966, 39.966)","(43.268, 37.048, 37.046)","(49.618, 49.386, 46.749)","(80.0, 80.0, 80.0)","(53.388, 53.388, 53.388)","(79.835, 79.815, 79.795)","(42.432, 22.968, 22.329)","(51.494, 30.787, 22.223)","(43.966, 28.077, 21.287)","(45.559, 24.549, 20.244)"
3,s20,50,23019.689916520645,"(31.95, 31.887, 30.573)","(32.449, 32.449, 32.445)","(42.024, 41.973, 41.958)","(44.881, 41.818, 41.726)","(46.175, 46.145, 46.141)","(62.296, 62.296, 62.296)","(28.282, 19.255, 15.822)","(38.959, 22.078, 18.822)","(33.122, 28.876, 16.679)","(34.895, 25.774, 14.692)"
4,w90,50,22093.22327231786,"(32.748, 32.748, 29.695)","(28.351, 28.328, 26.57)","(35.883, 35.805, 35.791)","(37.737, 37.643, 37.605)","(42.813, 42.813, 42.784)","(62.296, 62.296, 62.296)","(32.758, 15.97, 15.87)","(40.843, 20.043, 17.453)","(36.213, 36.119, 16.743)","(36.388, 31.092, 14.933)"
5,s20w90,50,22223.436546638135,"(32.672, 32.653, 29.766)","(28.24, 28.223, 27.598)","(37.776, 37.767, 37.598)","(38.398, 38.398, 38.398)","(44.17, 44.17, 44.17)","(62.32, 62.32, 62.32)","(28.804, 16.038, 15.926)","(41.965, 22.13, 17.984)","(35.767, 29.139, 16.7)","(35.667, 25.079, 14.892)"
6,s20,75,18891.372377224936,"(25.216, 25.216, 23.462)","(25.211, 25.158, 25.04)","(35.537, 35.537, 35.537)","(34.419, 34.419, 34.158)","(39.254, 39.254, 39.254)","(50.556, 50.518, 50.445)","(22.0, 19.0, 11.0)","(31.66, 23.264, 13.623)","(32.051, 31.983, 12.162)","(26.476, 24.099, 10.223)"
7,w90,75,17496.81742535086,"(28.849, 28.784, 20.508)","(18.063, 18.038, 17.511)","(28.069, 28.069, 27.012)","(29.995, 29.995, 29.748)","(36.0, 36.0, 36.0)","(48.644, 48.644, 48.644)","(25.82, 13.308, 10.609)","(32.775, 19.602, 12.609)","(36.622, 34.658, 12.292)","(27.91, 25.945, 10.476)"
8,s20w90,75,17720.887502545975,"(27.493, 27.478, 21.871)","(19.968, 19.968, 19.968)","(28.77, 28.77, 28.739)","(32.93, 32.93, 29.907)","(36.909, 36.906, 36.89)","(48.615, 48.615, 48.615)","(22.743, 19.029, 9.689)","(31.943, 22.827, 12.842)","(34.133, 34.081, 12.208)","(27.223, 25.74, 10.339)"
9,s20,100,14978.653077646362,"(23.211, 23.211, 16.457)","(18.634, 18.634, 18.634)","(29.202, 29.202, 29.202)","(27.741, 27.741, 27.741)","(33.687, 33.687, 33.687)","(40.444, 40.444, 40.437)","(12.814, 12.814, 7.563)","(21.039, 21.039, 8.965)","(32.054, 32.054, 7.653)","(19.103, 19.088, 7.17)"
10,w90,100,13590.620723233442,"(25.755, 25.002, 12.724)","(13.846, 13.813, 7.96)","(20.153, 20.153, 19.149)","(29.627, 29.627, 20.875)","(29.82, 29.82, 29.82)","(38.369, 36.483, 35.754)","(22.956, 15.167, 4.497)","(25.364, 25.364, 6.671)","(36.173, 36.173, 7.756)","(20.573, 20.565, 7.574)"
11,s20w90,100,13645.618196836134,"(22.41, 22.407, 14.647)","(19.958, 19.921, 11.039)","(21.572, 21.572, 21.296)","(25.606, 25.606, 22.583)","(30.759, 30.759, 30.736)","(36.866, 36.866, 36.86)","(15.403, 15.403, 5.254)","(22.992, 22.227, 7.948)","(34.615, 32.67, 7.694)","(19.871, 19.832, 7.38)"
12,s20,125,12031.783410902417,"(19.814, 19.751, 10.95)","(18.628, 18.612, 11.153)","(23.27, 23.241, 23.218)","(28.634, 28.634, 20.595)","(28.394, 28.394, 28.394)","(30.641, 30.641, 30.429)","(10.017, 9.994, 4.141)","(19.876, 19.86, 4.187)","(32.038, 32.038, 3.177)","(13.338, 13.338, 4.976)"
13,w90,125,10411.090645176611,"(23.024, 22.982, 4.445)","(11.95, 11.937, 0.076)","(18.685, 18.639, 10.445)","(21.882, 21.797, 13.916)","(23.998, 23.998, 23.998)","(32.833, 28.987, 27.742)","(16.814, 16.783, 0.272)","(26.375, 22.327, 2.121)","(36.2, 35.976, 3.309)","(14.961, 14.961, 5.263)"
14,s20w90,125,10363.897563369828,"(21.513, 21.506, 6.322)","(11.777, 11.777, 3.712)","(16.717, 16.717, 14.681)","(20.71, 20.697, 15.642)","(24.881, 24.881, 24.881)","(32.0, 29.0, 28.0)","(11.398, 11.398, 2.438)","(21.395, 21.351, 3.081)","(34.054, 33.976, 3.316)","(14.128, 14.059, 5.158)"
15,s20,150,9136.436117236932,"(18.391, 18.391, 4.459)","(10.92, 10.92, 5.501)","(17.705, 17.705, 17.705)","(18.485, 18.458, 16.862)","(23.317, 23.317, 23.317)","(25.757, 25.705, 23.334)","(9.057, 8.953, 0.003)","(19.562, 19.562, 0.123)","(30.98, 30.928, 0.046)","(10.249, 10.249, 2.091)"
