,angle,batt kwh,total cost,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2
0,s20,25,29045.4257427206,"(40.0, 40.0, 40.0)","(48.123, 48.123, 43.683)","(49.134, 49.134, 49.134)","(80.0, 80.0, 80.0)","(56.025, 56.025, 54.701)","(80.0, 80.0, 80.0)","(38.508, 23.243, 22.269)","(51.109, 30.542, 23.068)","(42.159, 25.271, 21.417)","(44.219, 25.6, 20.21)"
1,w90,25,28509.000636135177,"(40.0, 40.0, 40.0)","(42.061, 37.116, 37.037)","(50.232, 50.232, 46.497)","(80.0, 80.0, 80.0)","(51.52, 51.52, 51.511)","(79.811, 79.8, 79.788)","(41.358, 24.407, 22.223)","(51.694, 31.112, 21.656)","(44.216, 27.196, 21.446)","(45.858, 23.931, 20.491)"
2,s20w90,25,28508.86470170625,"(39.965, 39.965, 39.965)","(46.199, 37.119, 37.033)","(50.101, 50.101, 46.521)","(80.0, 80.0, 80.0)","(53.922, 53.922, 53.235)","(79.791, 79.791, 79.791)","(40.963, 23.928, 22.272)","(51.417, 30.268, 22.12)","(43.203, 27.336, 21.29)","(45.061, 23.643, 20.172)"
3,s20,50,22803.55099245021,"(30.808, 30.808, 30.795)","(32.377, 32.373, 32.349)","(41.567, 41.56, 41.509)","(44.987, 41.775, 41.699)","(46.0, 46.0, 46.0)","(62.307, 62.307, 62.307)","(26.127, 19.471, 15.753)","(38.862, 22.092, 18.816)","(32.152, 25.917, 16.675)","(34.33, 22.985, 14.717)"
4,w90,50,21853.00869343602,"(32.651, 32.651, 29.608)","(26.948, 26.948, 26.795)","(35.344, 35.344, 35.309)","(37.377, 37.377, 37.377)","(42.712, 42.534, 42.443)","(62.3, 62.3, 62.3)","(31.33, 16.694, 15.562)","(41.526, 22.681, 16.786)","(34.658, 34.652, 16.752)","(36.0, 25.0, 15.0)"
5,s20w90,50,22056.221586599488,"(32.803, 32.668, 29.665)","(28.916, 28.916, 26.883)","(37.326, 37.326, 37.326)","(38.392, 38.378, 38.379)","(44.026, 44.014, 44.007)","(62.363, 62.31, 62.3)","(26.791, 20.051, 15.264)","(41.832, 22.075, 17.815)","(33.391, 29.266, 16.681)","(35.166, 25.286, 14.809)"
6,s20,75,18522.66577914796,"(25.028, 25.028, 23.519)","(24.841, 24.841, 24.841)","(35.097, 35.097, 35.074)","(34.97, 34.97, 34.005)","(39.016, 39.016, 39.016)","(50.382, 50.382, 50.382)","(17.14, 17.14, 10.962)","(28.932, 22.072, 13.791)","(29.967, 29.937, 12.177)","(25.934, 22.662, 10.217)"
7,w90,75,17239.7112118974,"(25.842, 25.739, 21.182)","(18.153, 18.153, 17.472)","(26.685, 26.685, 26.685)","(29.694, 29.675, 29.624)","(35.669, 35.669, 35.633)","(48.624, 48.624, 48.624)","(25.87, 13.041, 10.759)","(32.0, 22.0, 12.0)","(34.675, 34.675, 12.241)","(27.572, 25.493, 10.363)"
8,s20w90,75,17543.793846959114,"(29.99, 29.911, 21.021)","(19.693, 19.693, 19.333)","(28.619, 28.582, 28.531)","(32.915, 32.848, 29.964)","(36.805, 36.805, 36.789)","(48.627, 48.627, 48.627)","(19.537, 19.478, 9.654)","(31.455, 23.458, 12.58)","(32.357, 32.324, 12.194)","(26.749, 24.06, 10.261)"
9,s20,100,14743.100634377908,"(18.896, 18.896, 18.896)","(18.468, 18.415, 18.381)","(28.861, 28.82, 28.82)","(27.781, 27.781, 27.751)","(33.491, 33.491, 33.491)","(40.43, 40.427, 40.387)","(11.806, 11.806, 8.119)","(20.622, 20.622, 9.038)","(29.947, 29.947, 7.68)","(18.557, 18.457, 6.888)"
10,w90,100,13158.716329529492,"(22.316, 22.316, 13.467)","(15.529, 15.528, 6.891)","(20.309, 20.278, 18.986)","(29.332, 29.278, 20.754)","(29.563, 29.563, 29.563)","(35.781, 35.781, 35.781)","(18.732, 14.944, 4.598)","(22.563, 22.494, 6.849)","(34.673, 34.671, 7.728)","(20.181, 20.138, 7.344)"
11,s20w90,100,13560.661184220216,"(22.661, 22.661, 14.418)","(19.409, 19.401, 10.397)","(21.689, 21.687, 20.396)","(29.345, 29.345, 21.552)","(32.329, 32.329, 30.558)","(36.621, 36.621, 36.567)","(13.174, 13.174, 6.287)","(22.615, 22.613, 7.746)","(32.295, 32.141, 7.796)","(19.392, 19.352, 7.126)"
12,s20,125,11683.425257759722,"(19.774, 19.745, 10.736)","(13.762, 13.739, 11.691)","(22.816, 22.816, 22.816)","(28.323, 28.323, 20.43)","(28.17, 28.17, 28.17)","(30.389, 30.389, 30.389)","(9.337, 9.337, 4.504)","(18.854, 18.854, 4.643)","(29.995, 29.96, 3.132)","(12.505, 12.505, 4.833)"
13,w90,125,10065.353081201238,"(21.7, 21.7, 4.958)","(11.924, 11.924, 0.05)","(18.766, 18.766, 9.977)","(21.635, 21.635, 13.787)","(23.824, 23.812, 23.795)","(31.876, 29.062, 27.751)","(14.596, 14.438, 0.0)","(22.902, 22.839, 1.742)","(34.526, 34.526, 3.427)","(14.362, 14.362, 5.104)"
14,s20w90,125,10026.61180240453,"(21.723, 21.716, 6.06)","(10.413, 10.379, 3.477)","(16.089, 16.089, 14.905)","(20.857, 20.815, 15.053)","(24.837, 24.837, 24.825)","(27.824, 27.824, 27.824)","(10.396, 10.396, 2.829)","(20.699, 20.678, 3.127)","(32.406, 32.32, 3.171)","(13.436, 13.436, 4.968)"
15,s20,150,8896.578072885724,"(15.208, 15.196, 6.655)","(11.026, 11.026, 4.82)","(19.0, 19.0, 17.0)","(17.397, 17.358, 17.064)","(23.451, 23.451, 23.067)","(24.771, 24.758, 23.613)","(8.546, 8.546, 0.0)","(18.974, 18.904, 0.005)","(28.911, 28.862, 0.042)","(8.503, 8.503, 2.505)"
16,w90,150,7700.461056757968,"(17.743, 17.602, 0.0)","(6.512, 6.425, 0.042)","(16.602, 16.602, 2.01)","(21.628, 21.594, 4.804)","(18.188, 18.188, 18.188)","(26.337, 26.337, 21.524)","(13.224, 13.217, 0.091)","(20.982, 20.959, 0.006)","(33.667, 33.595, 0.102)","(9.393, 9.382, 3.201)"
17,s20w90,150,7671.328407891251,"(17.649, 17.649, 0.512)","(6.87, 6.87, 0.027)","(15.755, 15.669, 6.51)","(20.854, 20.854, 7.099)","(19.145, 19.145, 19.145)","(25.833, 25.831, 21.829)","(9.237, 9.195, 0.0)","(19.758, 19.729, 0.048)","(31.321, 31.267, 0.039)","(8.645, 8.645, 3.045)"
18,s20,200,5709.202397755675,"(15.67, 14.984, 0.0)","(6.417, 6.35, 0.006)","(11.324, 11.324, 7.068)","(15.686, 15.686, 5.088)","(13.666, 13.666, 13.666)","(24.754, 24.696, 12.413)","(5.51, 3.465, 0.0)","(14.743, 13.549, 0.0)","(22.34, 22.33, 0.021)","(6.194, 5.656, 0.0)"
19,w90,200,5132.432516845014,"(15.982, 11.736, 0.0)","(0.806, 0.743, 0.0)","(5.898, 5.898, 0.0)","(14.695, 14.677, 0.0)","(8.819, 8.819, 8.819)","(31.644, 26.184, 8.667)","(10.687, 10.687, 0.014)","(17.897, 17.568, 0.0)","(26.96, 26.904, 0.017)","(7.706, 5.69, 0.0)"
20,s20w90,200,4894.933907314382,"(15.119, 15.047, 0.0)","(1.779, 0.836, 0.0)","(7.546, 7.546, 0.074)","(15.043, 15.043, 0.061)","(9.542, 9.542, 9.542)","(27.95, 26.644, 9.33)","(6.202, 6.077, 0.011)","(16.117, 16.096, 0.027)","(24.731, 24.582, 0.01)","(7.216, 2.882, 0.0)"
21,s20,400,1764.9516797848166,"(12.539, 0.124, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.518, 0.48, 0.034)","(22.97, 10.917, 0.0)","(0.0, 0.0, 0.0)","(8.11, 8.019, 0.02)","(12.46, 11.272, 0.033)","(2.931, 0.052, 0.0)"
22,w90,400,2192.9165304784683,"(13.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(2.5, 0.049, 0.0)","(25.722, 15.424, 0.0)","(1.676, 0.043, 0.044)","(10.917, 10.717, 0.0)","(15.187, 14.959, 0.0)","(3.814, 1.828, 0.006)"
23,s20w90,400,1871.0760813851314,"(12.68, 0.153, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(23.641, 11.383, 0.0)","(0.0, 0.0, 0.0)","(9.398, 8.629, 0.0)","(13.834, 13.193, 0.0)","(2.779, 2.779, 0.0)"
24,s20,600,1109.306322710902,"(5.962, 5.673, 0.002)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(15.837, 11.745, 0.0)","(0.0, 0.0, 0.0)","(3.217, 3.158, 0.045)","(9.53, 9.496, 0.072)","(0.0, 0.0, 0.0)"
25,w90,600,1375.0990652890919,"(6.319, 5.806, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(17.844, 11.933, 0.0)","(0.0, 0.0, 0.0)","(5.422, 5.422, 0.032)","(14.316, 6.685, 0.0)","(0.992, 0.065, 0.0)"
26,s20w90,600,1226.0537172166635,"(6.0, 6.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(15.709, 15.14, 0.0)","(0.0, 0.0, 0.0)","(5.775, 0.196, 0.0)","(11.056, 11.056, 0.0)","(0.022, 0.022, 0.0)"
