,angle,batt kwh,total cost,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2
0,s20,25,24672.058334919973,"(39.996, 39.996, 9.242)","(49.217, 45.901, 3.337)","(56.468, 56.468, 22.531)","(68.465, 60.885, 19.944)","(61.612, 61.612, 45.854)","(79.784, 79.784, 79.74)","(45.685, 35.754, 14.783)","(52.05, 30.691, 15.014)","(46.041, 36.616, 11.05)","(48.596, 35.323, 17.735)"
1,w90,25,22118.98803905406,"(41.749, 41.737, 4.564)","(37.038, 37.038, 0.017)","(46.499, 46.499, 17.609)","(80.0, 80.0, 0.0)","(66.31, 65.362, 23.121)","(79.783, 79.783, 79.725)","(52.783, 34.942, 11.743)","(53.01, 29.283, 11.732)","(48.209, 39.395, 11.198)","(48.834, 36.044, 17.972)"
2,s20w90,25,22631.950969912836,"(41.901, 41.894, 3.96)","(37.933, 37.933, 0.029)","(48.924, 48.919, 19.947)","(81.704, 81.475, 2.648)","(60.845, 60.823, 35.08)","(79.778, 79.778, 79.778)","(45.838, 34.977, 12.678)","(52.537, 29.196, 13.156)","(47.546, 38.855, 11.153)","(48.046, 37.281, 17.831)"
3,s20,50,18337.483726469072,"(34.877, 33.049, 0.0)","(35.305, 35.305, 0.067)","(52.13, 52.13, 10.953)","(50.087, 50.087, 7.221)","(59.368, 59.368, 26.415)","(65.681, 65.681, 57.943)","(33.006, 31.356, 2.29)","(41.932, 29.142, 3.765)","(38.323, 38.302, 0.0)","(36.666, 36.666, 6.422)"
4,w90,50,16041.307962705258,"(36.905, 33.106, 0.026)","(27.268, 27.268, 0.02)","(38.548, 38.548, 6.811)","(38.173, 38.173, 0.032)","(55.965, 55.951, 6.685)","(74.857, 74.852, 39.106)","(42.759, 26.023, 0.0)","(40.026, 35.858, 0.006)","(40.825, 40.825, 0.013)","(38.802, 36.014, 6.709)"
5,s20w90,50,16531.554124535134,"(35.888, 33.039, 0.02)","(29.46, 29.46, 0.0)","(43.544, 43.544, 8.707)","(39.21, 39.21, 0.0)","(61.637, 61.616, 11.604)","(98.387, 98.146, 19.799)","(35.621, 29.034, 0.0)","(39.821, 29.96, 0.0)","(39.625, 39.481, 0.0)","(37.136, 37.117, 6.575)"
6,s20,75,14558.694488904513,"(30.738, 30.738, 0.0)","(28.218, 28.21, 0.012)","(47.934, 47.901, 0.016)","(45.522, 45.522, 0.0)","(59.907, 59.888, 11.886)","(60.01, 59.992, 39.906)","(26.795, 18.871, 0.0)","(30.376, 30.376, 0.0)","(34.823, 34.823, 0.07)","(28.197, 28.123, 0.014)"
7,w90,75,12653.169353848845,"(32.795, 25.96, 0.0)","(19.588, 19.588, 0.0)","(32.593, 32.593, 0.0)","(30.24, 30.24, 0.0)","(47.443, 47.443, 0.0)","(85.005, 85.005, 4.803)","(34.792, 18.912, 0.0)","(35.748, 35.641, 0.0)","(37.294, 37.258, 0.0)","(29.298, 29.11, 0.0)"
8,s20w90,75,13126.137305293989,"(31.776, 27.32, 0.0)","(21.6, 21.597, 0.035)","(38.35, 38.35, 0.0)","(32.072, 32.072, 0.0)","(56.0, 56.0, 0.0)","(79.278, 79.278, 15.657)","(29.519, 20.096, 0.0)","(33.246, 32.578, 0.0)","(36.075, 36.053, 0.0)","(28.623, 28.582, 0.0)"
9,s20,100,12185.434592446658,"(28.679, 28.516, 0.0)","(21.566, 21.566, 0.008)","(40.115, 40.106, 0.141)","(37.389, 37.342, 0.0)","(51.775, 51.775, 7.059)","(59.793, 59.793, 24.902)","(20.902, 15.207, 0.0)","(27.187, 27.138, 0.0)","(31.761, 31.761, 0.0)","(21.002, 18.778, 0.0)"
10,w90,100,10349.712910952612,"(28.955, 26.131, 0.0)","(13.043, 12.999, 0.002)","(26.384, 26.339, 0.0)","(23.415, 23.235, 0.0)","(37.935, 37.856, 0.005)","(66.569, 66.569, 0.597)","(30.027, 20.014, 0.039)","(32.51, 32.227, 0.0)","(33.876, 33.876, 0.0)","(24.202, 24.202, 0.0)"
11,s20w90,100,10620.493920368503,"(27.974, 27.904, 0.0)","(14.49, 14.447, 0.041)","(30.848, 30.848, 0.0)","(25.718, 25.718, 0.0)","(44.065, 44.065, 0.062)","(59.724, 59.721, 13.581)","(24.812, 16.053, 0.007)","(29.801, 29.801, 0.0)","(32.857, 32.766, 0.0)","(21.404, 18.849, 0.0)"
12,s20,125,9974.479114458378,"(26.56, 26.56, 0.0)","(15.181, 15.136, 0.0)","(32.642, 32.642, 0.035)","(30.67, 30.67, 0.109)","(45.904, 45.904, 1.596)","(39.915, 39.915, 25.907)","(16.663, 16.633, 0.0)","(24.135, 24.131, 0.0)","(28.921, 28.921, 0.0)","(15.624, 13.2, 0.0)"
13,w90,125,8672.136120566667,"(25.591, 25.582, 0.0)","(12.074, 12.074, 0.001)","(20.822, 20.803, 0.0)","(19.609, 19.609, 0.0)","(32.221, 32.221, 0.0)","(47.031, 47.031, 0.0)","(26.0, 19.0, 0.0)","(29.268, 29.268, 0.0)","(30.99, 30.99, 0.0)","(21.565, 21.558, 0.036)"
14,s20w90,125,8691.473264350907,"(25.927, 25.912, 0.0)","(9.547, 9.547, 0.0)","(23.864, 23.864, 0.0)","(19.923, 19.923, 0.001)","(35.667, 35.667, 0.0)","(52.784, 52.746, 3.843)","(20.997, 15.138, 0.0)","(26.683, 26.683, 0.0)","(29.95, 29.946, 0.008)","(16.347, 16.341, 0.023)"
15,s20,150,8164.030755362785,"(24.637, 24.487, 0.0)","(10.686, 10.663, 0.036)","(25.557, 25.557, 0.009)","(24.501, 24.472, 0.0)","(37.824, 37.807, 0.139)","(38.49, 38.472, 12.12)","(14.136, 12.501, 0.0)","(21.113, 21.072, 0.003)","(26.34, 26.308, 0.0)","(13.135, 12.977, 0.0)"
16,w90,150,7709.375869778051,"(23.467, 23.467, 0.002)","(11.287, 10.607, 0.0)","(18.756, 18.756, 0.0)","(17.958, 17.958, 0.0)","(30.207, 30.207, 0.0)","(38.164, 38.164, 0.0)","(21.871, 19.213, 0.009)","(26.246, 26.246, 0.009)","(28.193, 28.163, 0.0)","(19.0, 19.0, 0.0)"
17,s20w90,150,7071.503293718711,"(23.931, 23.931, 0.01)","(7.956, 7.791, 0.0)","(17.437, 17.437, 0.0)","(16.121, 16.121, 0.0)","(28.642, 28.642, 0.0)","(39.05, 39.038, 0.251)","(17.148, 15.33, 0.0)","(23.684, 23.684, 0.0)","(27.264, 27.264, 0.0)","(13.994, 13.966, 0.0)"
18,s20,200,5951.235181437812,"(21.952, 21.952, 0.0)","(6.99, 6.99, 0.0)","(16.577, 16.577, 0.0)","(15.228, 14.991, 0.011)","(23.041, 23.0, 1.889)","(35.351, 35.245, 0.0)","(11.096, 11.096, 0.001)","(16.335, 16.019, 0.0)","(21.499, 21.499, 0.0)","(11.519, 9.819, 0.004)"
19,w90,200,6471.328311011431,"(21.608, 21.579, 0.012)","(9.196, 9.191, 0.0)","(16.0, 16.0, 0.0)","(15.885, 15.882, 0.0)","(26.204, 26.187, 0.0)","(34.036, 34.036, 0.0)","(16.041, 16.013, 0.0)","(20.544, 19.998, 0.0)","(23.208, 23.196, 0.003)","(14.186, 14.186, 0.027)"
20,s20w90,200,5845.732899372291,"(21.751, 21.686, 0.0)","(5.822, 5.778, 0.001)","(15.237, 15.2, 0.021)","(12.621, 12.621, 0.0)","(22.662, 22.662, 0.0)","(34.562, 34.525, 0.001)","(12.937, 12.928, 0.0)","(17.945, 17.55, 0.0)","(22.355, 22.336, 0.044)","(12.729, 8.997, 0.0)"
21,s20,400,3994.9126236458433,"(16.809, 16.809, 0.0)","(2.178, 2.178, 0.085)","(12.503, 12.503, 0.0)","(11.227, 11.227, 0.0)","(15.997, 15.618, 0.0)","(26.977, 26.796, 0.019)","(3.783, 3.783, 0.048)","(10.643, 10.48, 0.0)","(14.839, 14.8, 0.067)","(6.483, 6.483, 0.0)"
22,w90,400,4522.094746705391,"(19.879, 9.963, 0.0)","(4.796, 3.104, 0.018)","(13.333, 13.267, 0.0)","(10.72, 10.72, 0.0)","(17.955, 16.348, 0.0)","(27.951, 27.951, 0.0)","(8.505, 8.505, 0.0)","(12.052, 12.052, 0.0)","(16.398, 16.353, 0.09)","(8.591, 8.536, 0.015)"
23,s20w90,400,4150.927832392757,"(17.671, 14.864, 0.0)","(2.489, 2.489, 0.0)","(12.623, 12.08, 0.0)","(10.638, 10.534, 0.032)","(16.034, 16.024, 0.027)","(27.437, 27.322, 0.0)","(5.669, 5.669, 0.0)","(11.345, 11.345, 0.0)","(15.658, 15.658, 0.0)","(7.37, 7.179, 0.03)"
24,s20,600,3045.3739723845692,"(14.275, 14.141, 0.028)","(2.282, 0.024, 0.024)","(9.665, 9.665, 0.0)","(9.512, 9.512, 0.0)","(14.825, 9.782, 0.077)","(21.737, 21.649, 0.006)","(0.0, 0.0, 0.0)","(5.78, 5.78, 0.0)","(12.346, 12.248, 0.0)","(3.643, 3.643, 0.0)"
25,w90,600,3548.8392148687312,"(14.048, 11.367, 0.0)","(2.522, 2.522, 0.0)","(11.895, 9.013, 0.0)","(8.931, 8.931, 0.0)","(15.347, 15.28, 0.048)","(23.164, 22.697, 0.044)","(5.578, 5.578, 0.0)","(7.85, 7.796, 0.0)","(13.887, 13.368, 0.0)","(6.0, 6.0, 0.0)"
26,s20w90,600,3174.7119234082547,"(14.529, 11.772, 0.0)","(2.142, 0.488, 0.088)","(9.686, 9.686, 0.0)","(8.926, 8.878, 0.014)","(13.57, 13.522, 0.005)","(22.112, 22.112, 0.038)","(2.337, 2.337, 0.117)","(6.242, 6.187, 0.0)","(12.957, 12.937, 0.0)","(4.739, 4.739, 0.0)"
