,angle,batt kwh,total cost,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2
0,s20,125,9974.479114458378,"(26.56, 26.56, 0.0)","(15.181, 15.136, 0.0)","(32.642, 32.642, 0.035)","(30.67, 30.67, 0.109)","(45.904, 45.904, 1.596)","(39.915, 39.915, 25.907)","(16.663, 16.633, 0.0)","(24.135, 24.131, 0.0)","(28.921, 28.921, 0.0)","(15.624, 13.2, 0.0)"
1,w90,125,8672.136120566667,"(25.591, 25.582, 0.0)","(12.074, 12.074, 0.001)","(20.822, 20.803, 0.0)","(19.609, 19.609, 0.0)","(32.221, 32.221, 0.0)","(47.031, 47.031, 0.0)","(26.0, 19.0, 0.0)","(29.268, 29.268, 0.0)","(30.99, 30.99, 0.0)","(21.565, 21.558, 0.036)"
2,s20w90,125,8691.473264350907,"(25.927, 25.912, 0.0)","(9.547, 9.547, 0.0)","(23.864, 23.864, 0.0)","(19.923, 19.923, 0.001)","(35.667, 35.667, 0.0)","(52.784, 52.746, 3.843)","(20.997, 15.138, 0.0)","(26.683, 26.683, 0.0)","(29.95, 29.946, 0.008)","(16.347, 16.341, 0.023)"
3,s20,150,8164.030755362785,"(24.637, 24.487, 0.0)","(10.686, 10.663, 0.036)","(25.557, 25.557, 0.009)","(24.501, 24.472, 0.0)","(37.824, 37.807, 0.139)","(38.49, 38.472, 12.12)","(14.136, 12.501, 0.0)","(21.113, 21.072, 0.003)","(26.34, 26.308, 0.0)","(13.135, 12.977, 0.0)"
4,w90,150,7709.375869778051,"(23.467, 23.467, 0.002)","(11.287, 10.607, 0.0)","(18.756, 18.756, 0.0)","(17.958, 17.958, 0.0)","(30.207, 30.207, 0.0)","(38.164, 38.164, 0.0)","(21.871, 19.213, 0.009)","(26.246, 26.246, 0.009)","(28.193, 28.163, 0.0)","(19.0, 19.0, 0.0)"
5,s20w90,150,7071.503293718711,"(23.931, 23.931, 0.01)","(7.956, 7.791, 0.0)","(17.437, 17.437, 0.0)","(16.121, 16.121, 0.0)","(28.642, 28.642, 0.0)","(39.05, 39.038, 0.251)","(17.148, 15.33, 0.0)","(23.684, 23.684, 0.0)","(27.264, 27.264, 0.0)","(13.994, 13.966, 0.0)"
6,s20,200,5951.235181437812,"(21.952, 21.952, 0.0)","(6.99, 6.99, 0.0)","(16.577, 16.577, 0.0)","(15.228, 14.991, 0.011)","(23.041, 23.0, 1.889)","(35.351, 35.245, 0.0)","(11.096, 11.096, 0.001)","(16.335, 16.019, 0.0)","(21.499, 21.499, 0.0)","(11.519, 9.819, 0.004)"
7,w90,200,6471.328311011431,"(21.608, 21.579, 0.012)","(9.196, 9.191, 0.0)","(16.0, 16.0, 0.0)","(15.885, 15.882, 0.0)","(26.204, 26.187, 0.0)","(34.036, 34.036, 0.0)","(16.041, 16.013, 0.0)","(20.544, 19.998, 0.0)","(23.208, 23.196, 0.003)","(14.186, 14.186, 0.027)"
8,s20w90,200,5845.732899372291,"(21.751, 21.686, 0.0)","(5.822, 5.778, 0.001)","(15.237, 15.2, 0.021)","(12.621, 12.621, 0.0)","(22.662, 22.662, 0.0)","(34.562, 34.525, 0.001)","(12.937, 12.928, 0.0)","(17.945, 17.55, 0.0)","(22.355, 22.336, 0.044)","(12.729, 8.997, 0.0)"
9,s20,400,3994.9126236458433,"(16.809, 16.809, 0.0)","(2.178, 2.178, 0.085)","(12.503, 12.503, 0.0)","(11.227, 11.227, 0.0)","(15.997, 15.618, 0.0)","(26.977, 26.796, 0.019)","(3.783, 3.783, 0.048)","(10.643, 10.48, 0.0)","(14.839, 14.8, 0.067)","(6.483, 6.483, 0.0)"
10,w90,400,4522.094746705391,"(19.879, 9.963, 0.0)","(4.796, 3.104, 0.018)","(13.333, 13.267, 0.0)","(10.72, 10.72, 0.0)","(17.955, 16.348, 0.0)","(27.951, 27.951, 0.0)","(8.505, 8.505, 0.0)","(12.052, 12.052, 0.0)","(16.398, 16.353, 0.09)","(8.591, 8.536, 0.015)"
11,s20w90,400,4150.927832392757,"(17.671, 14.864, 0.0)","(2.489, 2.489, 0.0)","(12.623, 12.08, 0.0)","(10.638, 10.534, 0.032)","(16.034, 16.024, 0.027)","(27.437, 27.322, 0.0)","(5.669, 5.669, 0.0)","(11.345, 11.345, 0.0)","(15.658, 15.658, 0.0)","(7.37, 7.179, 0.03)"
12,s20,600,3045.3739723845692,"(14.275, 14.141, 0.028)","(2.282, 0.024, 0.024)","(9.665, 9.665, 0.0)","(9.512, 9.512, 0.0)","(14.825, 9.782, 0.077)","(21.737, 21.649, 0.006)","(0.0, 0.0, 0.0)","(5.78, 5.78, 0.0)","(12.346, 12.248, 0.0)","(3.643, 3.643, 0.0)"
13,w90,600,3548.8392148687312,"(14.048, 11.367, 0.0)","(2.522, 2.522, 0.0)","(11.895, 9.013, 0.0)","(8.931, 8.931, 0.0)","(15.347, 15.28, 0.048)","(23.164, 22.697, 0.044)","(5.578, 5.578, 0.0)","(7.85, 7.796, 0.0)","(13.887, 13.368, 0.0)","(6.0, 6.0, 0.0)"
14,s20w90,600,3174.7119234082547,"(14.529, 11.772, 0.0)","(2.142, 0.488, 0.088)","(9.686, 9.686, 0.0)","(8.926, 8.878, 0.014)","(13.57, 13.522, 0.005)","(22.112, 22.112, 0.038)","(2.337, 2.337, 0.117)","(6.242, 6.187, 0.0)","(12.957, 12.937, 0.0)","(4.739, 4.739, 0.0)"
