,angle,batt kwh,total cost,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2
0,s20,25,41616.480854289,"(40.0, 40.0, 40.0)","(44.233, 44.233, 44.233)","(50.142, 50.142, 50.142)","(114.255, 112.205, 113.321)","(54.976, 54.975, 54.976)","(79.837, 79.837, 79.837)","(48.241, 43.341, 43.556)","(55.746, 51.491, 42.436)","(45.942, 45.921, 36.958)","(51.318, 46.437, 40.406)"
1,s20w90_75_25,25,40816.78304132825,"(40.42, 40.42, 40.42)","(40.0, 40.0, 40.0)","(47.935, 47.935, 47.935)","(113.158, 112.162, 112.929)","(54.273, 54.273, 54.273)","(79.791, 79.791, 79.791)","(48.469, 44.375, 43.62)","(53.986, 51.57, 39.343)","(49.652, 46.19, 37.919)","(50.821, 46.641, 39.953)"
2,s20w90_50_50,25,40647.10669391173,"(40.863, 40.863, 40.863)","(37.946, 37.946, 37.946)","(47.406, 47.406, 47.406)","(113.863, 112.379, 112.19)","(53.867, 53.867, 53.867)","(79.781, 79.781, 79.781)","(49.22, 45.764, 44.51)","(52.934, 51.669, 36.267)","(49.357, 46.479, 37.718)","(50.11, 46.857, 39.604)"
3,s20w90_25_75,25,41070.141082401264,"(41.563, 41.563, 41.563)","(37.059, 37.059, 37.059)","(46.908, 46.908, 46.908)","(112.381, 112.381, 112.152)","(53.458, 53.458, 53.458)","(79.825, 79.825, 79.825)","(51.286, 47.38, 43.542)","(53.399, 51.734, 35.293)","(49.518, 47.057, 37.828)","(50.836, 47.638, 40.505)"
4,w90,25,42050.182860465844,"(41.769, 41.769, 41.769)","(37.087, 37.087, 37.087)","(46.495, 46.495, 46.495)","(112.286, 112.206, 112.271)","(53.364, 53.364, 53.364)","(79.786, 79.786, 79.786)","(53.894, 51.97, 42.692)","(53.275, 51.807, 35.255)","(49.047, 48.007, 38.888)","(49.806, 48.415, 41.082)"
5,s20,50,36748.53700175056,"(34.841, 34.841, 34.841)","(32.995, 32.995, 32.995)","(43.407, 43.407, 43.407)","(41.844, 41.844, 41.844)","(47.044, 47.044, 47.044)","(62.399, 62.399, 62.399)","(33.0, 33.0, 33.0)","(42.107, 39.503, 41.65)","(40.29, 38.1, 37.676)","(41.462, 37.702, 40.964)"
6,s20w90_75_25,50,35846.702645022284,"(35.384, 35.384, 35.384)","(30.7, 30.7, 30.7)","(40.576, 40.576, 40.576)","(39.808, 39.808, 39.808)","(45.192, 45.192, 45.192)","(62.291, 62.291, 62.291)","(38.199, 38.199, 38.199)","(41.244, 39.6, 41.202)","(39.456, 38.601, 38.548)","(40.127, 38.067, 39.327)"
7,s20w90_50_50,50,35573.60816487275,"(36.0, 36.0, 36.0)","(29.455, 29.455, 29.455)","(38.212, 38.212, 38.212)","(38.573, 38.573, 38.573)","(44.615, 44.615, 44.615)","(62.292, 62.292, 62.292)","(35.981, 35.981, 35.981)","(41.842, 41.226, 36.238)","(39.145, 39.145, 39.145)","(39.101, 38.266, 38.112)"
8,s20w90_25_75,50,35930.54735239454,"(36.519, 36.519, 36.519)","(28.375, 28.375, 28.375)","(37.896, 37.896, 37.896)","(38.372, 38.372, 38.372)","(44.412, 44.412, 44.412)","(62.29, 62.29, 62.29)","(37.284, 37.284, 37.284)","(40.008, 39.895, 39.889)","(39.907, 39.907, 39.907)","(37.285, 37.285, 37.285)"
9,w90,50,36860.493568202495,"(36.908, 36.908, 36.908)","(27.282, 27.282, 27.282)","(37.461, 37.461, 37.461)","(38.174, 38.174, 38.174)","(43.877, 43.877, 43.877)","(62.389, 62.389, 62.389)","(42.976, 42.699, 40.887)","(40.0, 40.0, 40.0)","(44.169, 40.746, 39.573)","(37.506, 37.506, 37.506)"
