,angle,batt kwh,total cost,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2
0,s20,25,47934.84006072703,"(44.919, 44.919, 44.919)","(44.552, 44.552, 44.552)","(54.763, 54.763, 54.763)","(112.937, 112.737, 112.153)","(69.765, 69.765, 69.765)","(79.791, 79.791, 79.791)","(56.251, 51.977, 46.893)","(55.618, 51.706, 42.433)","(54.26, 50.336, 40.051)","(53.712, 52.811, 45.219)"
1,s20w90_75_25,25,47698.67799701698,"(45.262, 45.262, 45.262)","(42.157, 42.157, 42.157)","(53.146, 53.146, 53.146)","(112.592, 112.154, 112.25)","(68.724, 68.724, 68.724)","(79.788, 79.788, 79.788)","(60.375, 53.013, 48.109)","(57.842, 51.744, 45.142)","(53.658, 50.858, 39.927)","(57.211, 53.202, 47.122)"
2,s20w90_50_50,25,47622.793273322124,"(45.711, 45.711, 45.711)","(40.137, 40.137, 40.137)","(51.817, 51.817, 51.817)","(112.98, 112.189, 112.808)","(67.887, 67.887, 67.887)","(79.945, 79.945, 79.945)","(56.149, 54.11, 43.623)","(55.101, 51.786, 41.334)","(53.289, 51.288, 40.07)","(56.224, 53.589, 45.762)"
3,s20w90_25_75,25,47867.83524727193,"(45.958, 45.958, 45.958)","(38.745, 38.745, 38.745)","(51.609, 51.609, 51.609)","(112.56, 112.479, 112.157)","(67.036, 67.036, 67.036)","(79.775, 79.775, 79.775)","(62.137, 58.158, 47.743)","(54.873, 51.824, 39.744)","(53.518, 51.758, 41.067)","(58.388, 53.977, 47.716)"
4,w90,25,48467.76186656431,"(46.332, 46.332, 46.332)","(38.196, 38.196, 38.196)","(52.51, 52.51, 52.51)","(112.624, 112.147, 112.223)","(66.199, 66.199, 66.199)","(80.0, 80.0, 80.0)","(65.166, 62.211, 46.773)","(53.147, 51.911, 36.199)","(56.118, 55.767, 41.157)","(58.646, 54.37, 48.322)"
5,s20,50,43349.16537895941,"(39.443, 39.443, 39.443)","(33.339, 33.339, 33.339)","(44.929, 44.929, 44.929)","(49.742, 49.742, 49.742)","(58.297, 58.297, 58.297)","(65.86, 65.86, 65.86)","(43.157, 41.999, 40.845)","(42.574, 42.574, 42.574)","(42.941, 42.78, 41.108)","(41.778, 41.778, 41.778)"
6,s20w90_75_25,50,43213.90349258676,"(39.69, 39.69, 39.69)","(32.125, 32.125, 32.125)","(44.212, 44.212, 44.211)","(49.0, 49.0, 49.0)","(57.768, 57.768, 57.768)","(66.254, 66.254, 66.254)","(46.806, 43.024, 40.919)","(50.976, 44.552, 43.772)","(48.77, 43.205, 41.284)","(42.358, 42.358, 42.358)"
7,s20w90_50_50,50,43265.01563492821,"(40.108, 40.108, 40.108)","(30.714, 30.714, 30.714)","(43.791, 43.791, 43.791)","(48.313, 48.313, 48.313)","(57.191, 57.191, 57.191)","(66.671, 66.671, 66.671)","(49.512, 46.544, 40.902)","(48.678, 45.077, 44.846)","(48.991, 43.776, 41.357)","(42.902, 42.902, 42.902)"
8,s20w90_25_75,50,43781.45846081537,"(40.622, 40.622, 40.622)","(30.113, 30.113, 30.113)","(44.716, 44.716, 44.716)","(47.68, 47.68, 47.68)","(56.84, 56.84, 56.84)","(66.989, 66.989, 66.989)","(54.172, 51.834, 45.189)","(46.22, 45.757, 45.431)","(49.457, 44.957, 44.759)","(45.874, 45.482, 45.366)"
9,w90,50,44648.86138631586,"(40.978, 40.978, 40.978)","(33.929, 33.929, 33.929)","(46.67, 46.67, 46.67)","(47.432, 47.432, 47.432)","(56.411, 56.411, 56.411)","(67.276, 67.276, 67.276)","(57.106, 54.158, 45.454)","(45.899, 45.899, 45.899)","(52.763, 47.398, 44.873)","(46.576, 44.046, 42.338)"
