,angle,batt kwh,total cost,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2
0,s20,25,39838.22705934995,"(40.0, 40.0, 40.0)","(44.002, 44.002, 44.002)","(49.359, 49.359, 49.359)","(112.61, 112.162, 112.492)","(54.708, 54.708, 54.708)","(79.8, 79.8, 79.8)","(43.531, 40.836, 41.808)","(55.261, 51.271, 41.014)","(47.403, 43.901, 42.591)","(49.421, 45.321, 41.728)"
1,s20w90_75_25,25,38873.84752625665,"(40.0, 40.0, 40.0)","(38.669, 38.669, 38.669)","(47.734, 47.734, 47.734)","(112.635, 112.36, 112.18)","(54.075, 54.075, 54.075)","(79.806, 79.806, 79.806)","(48.095, 40.973, 46.429)","(55.812, 51.389, 39.818)","(50.235, 44.304, 45.486)","(48.216, 45.624, 40.62)"
2,s20w90_50_50,25,38499.80321582038,"(39.985, 39.985, 39.985)","(37.101, 37.101, 37.101)","(46.887, 46.887, 46.887)","(114.085, 112.973, 112.219)","(53.466, 53.466, 53.466)","(79.829, 79.829, 79.829)","(44.142, 41.423, 43.094)","(55.339, 51.509, 40.319)","(47.372, 44.721, 43.07)","(45.945, 45.932, 38.092)"
3,s20w90_25_75,25,38659.34262780433,"(40.0, 40.0, 40.0)","(37.029, 37.029, 37.029)","(46.528, 46.528, 46.528)","(113.159, 112.377, 112.251)","(52.85, 52.85, 52.85)","(80.0, 80.0, 80.0)","(45.799, 41.867, 43.817)","(53.273, 51.668, 35.467)","(50.311, 45.153, 47.018)","(52.015, 46.237, 41.592)"
4,w90,25,39540.150591876736,"(40.0, 40.0, 40.0)","(37.039, 37.039, 37.039)","(46.526, 46.526, 46.526)","(112.327, 112.158, 112.299)","(52.269, 52.269, 52.269)","(79.825, 79.825, 79.825)","(47.652, 43.64, 42.511)","(53.277, 51.784, 35.745)","(46.648, 45.576, 42.798)","(54.662, 46.546, 44.389)"
5,s20,50,34296.4981911668,"(30.972, 30.972, 30.972)","(32.623, 32.623, 32.623)","(42.452, 42.452, 42.452)","(41.779, 41.779, 41.779)","(46.43, 46.43, 46.43)","(62.306, 62.306, 62.306)","(28.121, 28.121, 28.121)","(41.397, 39.029, 41.157)","(34.149, 34.149, 34.149)","(35.477, 35.477, 35.477)"
6,s20w90_75_25,50,33112.13958028944,"(31.029, 31.029, 31.029)","(29.896, 29.896, 29.896)","(38.864, 38.864, 38.864)","(39.0, 39.0, 39.0)","(44.818, 44.818, 44.818)","(62.299, 62.299, 62.299)","(29.113, 29.113, 29.113)","(43.041, 39.112, 42.575)","(34.577, 34.577, 34.577)","(35.79, 35.79, 35.79)"
7,s20w90_50_50,50,32830.036414509894,"(31.803, 31.803, 31.803)","(28.405, 28.405, 28.405)","(37.671, 37.671, 37.671)","(38.378, 38.378, 38.378)","(44.235, 44.235, 44.235)","(62.308, 62.308, 62.308)","(30.131, 30.131, 30.131)","(41.118, 39.258, 41.01)","(34.985, 34.985, 34.985)","(43.198, 37.541, 42.062)"
8,s20w90_25_75,50,33038.6305426135,"(32.729, 32.729, 32.729)","(26.907, 26.907, 26.907)","(36.995, 36.995, 36.995)","(38.083, 38.083, 38.083)","(43.706, 43.706, 43.706)","(62.295, 62.295, 62.294)","(31.716, 31.716, 31.716)","(45.695, 39.408, 45.334)","(40.418, 36.51, 36.36)","(39.762, 37.546, 39.117)"
9,w90,50,34048.22677845872,"(33.374, 33.374, 33.374)","(26.808, 26.808, 26.808)","(36.244, 36.244, 36.244)","(37.818, 37.818, 37.818)","(43.278, 43.278, 43.278)","(62.305, 62.305, 62.305)","(39.0, 39.0, 39.0)","(40.584, 39.56, 40.564)","(40.714, 37.384, 37.311)","(39.798, 37.544, 38.635)"
10,s20,75,29988.431212121493,"(26.277, 26.277, 26.277)","(25.41, 25.41, 25.41)","(35.978, 35.978, 35.978)","(34.202, 34.202, 34.202)","(39.723, 39.723, 39.723)","(50.494, 50.494, 50.494)","(21.322, 21.322, 21.322)","(29.574, 29.573, 29.574)","(27.499, 27.499, 27.499)","(27.242, 27.242, 27.242)"
11,s20w90_75_25,75,28692.662204267006,"(27.047, 27.047, 27.047)","(22.149, 22.149, 22.149)","(31.779, 31.779, 31.779)","(31.852, 31.852, 31.852)","(37.438, 37.438, 37.438)","(49.407, 49.407, 49.407)","(22.381, 22.381, 22.381)","(29.774, 29.774, 29.774)","(28.194, 28.194, 28.194)","(27.367, 27.367, 27.367)"
12,s20w90_50_50,75,28285.029068332944,"(28.062, 28.062, 28.062)","(20.515, 20.515, 20.515)","(29.0, 29.0, 29.0)","(30.579, 30.579, 30.579)","(37.099, 37.099, 37.099)","(48.708, 48.708, 48.708)","(23.715, 23.715, 23.715)","(30.0, 30.0, 30.0)","(29.168, 29.168, 29.168)","(27.679, 27.679, 27.679)"
