,angle,batt kwh,total cost,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2
0,s20,25,38991.39135417751,"(40.0, 40.0, 40.0)","(43.719, 43.719, 43.719)","(49.136, 49.136, 49.136)","(113.516, 112.412, 112.23)","(54.703, 54.703, 54.703)","(80.0, 80.0, 80.0)","(38.469, 38.469, 38.469)","(59.24, 51.055, 45.467)","(43.491, 42.158, 39.446)","(49.279, 44.201, 42.388)"
1,s20w90_75_25,25,38014.670914038594,"(40.0, 40.0, 40.0)","(37.708, 37.708, 37.708)","(47.413, 47.413, 47.413)","(113.099, 112.173, 113.059)","(53.922, 53.922, 53.922)","(79.842, 79.842, 79.842)","(39.055, 39.055, 39.055)","(54.497, 51.213, 38.477)","(47.484, 42.665, 45.193)","(49.471, 44.61, 41.545)"
2,s20w90_50_50,25,37694.447092952396,"(40.0, 40.0, 40.0)","(37.081, 37.081, 37.081)","(46.542, 46.542, 46.542)","(114.056, 113.76, 112.21)","(53.069, 53.069, 53.069)","(79.795, 79.795, 79.795)","(39.651, 39.651, 39.651)","(57.67, 51.37, 41.518)","(49.039, 43.175, 43.517)","(48.557, 45.02, 40.783)"
3,s20w90_25_75,25,37718.28675929855,"(40.0, 40.0, 40.0)","(37.027, 37.027, 37.027)","(46.502, 46.502, 46.502)","(112.331, 112.307, 112.247)","(52.258, 52.258, 52.258)","(80.0, 80.0, 80.0)","(46.249, 40.84, 44.377)","(53.071, 51.533, 37.375)","(48.275, 43.686, 43.73)","(48.627, 45.426, 40.633)"
4,w90,25,38333.59711535678,"(39.972, 39.972, 39.972)","(37.031, 37.031, 37.031)","(46.575, 46.575, 46.575)","(113.254, 112.454, 112.167)","(51.504, 51.504, 51.504)","(80.0, 80.0, 80.0)","(43.423, 40.843, 42.453)","(57.073, 51.686, 41.789)","(48.421, 44.197, 43.486)","(49.306, 45.835, 41.04)"
5,s20,50,33212.47403617237,"(30.81, 30.81, 30.81)","(32.405, 32.405, 32.405)","(41.521, 41.521, 41.521)","(41.905, 41.905, 41.905)","(46.0, 46.0, 46.0)","(62.316, 62.316, 62.316)","(25.665, 25.665, 25.665)","(41.528, 38.861, 41.37)","(32.043, 32.043, 32.043)","(34.317, 34.317, 34.317)"
6,s20w90_75_25,50,32031.636187850152,"(30.511, 30.511, 30.511)","(29.284, 29.284, 29.284)","(38.187, 38.187, 38.187)","(38.752, 38.752, 38.752)","(44.605, 44.605, 44.605)","(62.312, 62.312, 62.312)","(26.249, 26.249, 26.249)","(39.162, 38.984, 37.247)","(32.61, 32.61, 32.61)","(34.739, 34.739, 34.739)"
7,s20w90_50_50,50,31687.045212742192,"(30.305, 30.305, 30.305)","(27.178, 27.178, 27.178)","(37.376, 37.376, 37.376)","(38.441, 38.441, 38.441)","(43.87, 43.87, 43.87)","(62.32, 62.32, 62.32)","(26.796, 26.796, 26.796)","(40.498, 39.1, 40.31)","(35.212, 35.212, 35.212)","(35.149, 35.149, 35.149)"
8,s20w90_25_75,50,31593.5736879604,"(30.352, 30.352, 30.352)","(26.832, 26.832, 26.832)","(36.453, 36.453, 36.453)","(37.768, 37.768, 37.768)","(43.156, 43.156, 43.156)","(62.3, 62.3, 62.3)","(27.516, 27.516, 27.516)","(43.71, 39.217, 43.58)","(36.264, 36.145, 36.1)","(35.557, 35.557, 35.557)"
9,w90,50,32175.11603052319,"(30.397, 30.397, 30.397)","(26.774, 26.774, 26.774)","(35.399, 35.399, 35.399)","(37.356, 37.356, 37.356)","(42.474, 42.474, 42.474)","(62.308, 62.308, 62.308)","(29.463, 29.463, 29.463)","(42.475, 39.337, 42.475)","(34.386, 34.386, 34.386)","(36.0, 36.0, 36.0)"
10,s20,75,28460.808268982873,"(23.943, 23.943, 23.943)","(24.853, 24.853, 24.853)","(35.097, 35.097, 35.097)","(34.153, 34.153, 34.153)","(39.018, 39.018, 39.018)","(50.426, 50.426, 50.426)","(17.057, 17.057, 17.057)","(28.923, 28.923, 28.923)","(25.062, 25.062, 25.062)","(26.0, 26.0, 26.0)"
11,s20w90_75_25,75,27117.6404810614,"(23.581, 23.581, 23.581)","(21.428, 21.428, 21.428)","(30.412, 30.412, 30.412)","(30.985, 30.985, 30.985)","(37.367, 37.367, 37.367)","(49.221, 49.221, 49.221)","(18.407, 18.407, 18.407)","(29.056, 29.056, 29.056)","(25.664, 25.664, 25.664)","(26.533, 26.533, 26.533)"
12,s20w90_50_50,75,26672.68783282569,"(23.818, 23.818, 23.818)","(19.405, 19.405, 19.405)","(28.517, 28.517, 28.517)","(30.294, 30.294, 30.294)","(36.679, 36.679, 36.679)","(48.751, 48.751, 48.751)","(19.71, 19.71, 19.71)","(29.346, 29.346, 29.346)","(26.295, 26.295, 26.294)","(26.788, 26.788, 26.788)"
13,s20w90_25_75,75,26667.331562292864,"(24.833, 24.833, 24.833)","(17.805, 17.805, 17.805)","(27.572, 27.572, 27.572)","(29.968, 29.968, 29.968)","(36.333, 36.333, 36.333)","(48.683, 48.683, 48.683)","(20.987, 20.987, 20.987)","(29.656, 29.656, 29.656)","(27.087, 27.087, 27.087)","(27.156, 27.156, 27.156)"
14,w90,75,27451.557478307543,"(25.863, 25.863, 25.863)","(17.614, 17.614, 17.614)","(26.693, 26.693, 26.693)","(29.714, 29.714, 29.714)","(35.676, 35.676, 35.676)","(48.623, 48.623, 48.623)","(23.429, 23.429, 23.429)","(29.858, 29.858, 29.858)","(27.925, 27.925, 27.925)","(27.684, 27.684, 27.684)"
15,s20,100,24028.32661760664,"(19.0, 19.0, 19.0)","(18.466, 18.466, 18.466)","(28.774, 28.774, 28.774)","(27.711, 27.711, 27.711)","(33.461, 33.461, 33.461)","(40.417, 40.417, 40.417)","(10.966, 10.966, 10.966)","(20.664, 20.664, 20.664)","(20.585, 20.585, 20.585)","(18.499, 18.499, 18.499)"
16,s20w90_75_25,100,22526.943310846604,"(19.0, 19.0, 19.0)","(14.252, 14.252, 14.252)","(23.624, 23.624, 23.624)","(24.831, 24.831, 24.831)","(31.067, 31.067, 31.067)","(38.437, 38.437, 38.437)","(11.94, 11.94, 11.94)","(21.122, 21.122, 21.122)","(21.282, 21.282, 21.282)","(18.947, 18.947, 18.947)"
17,s20w90_50_50,100,21866.766959064986,"(20.0, 20.0, 20.0)","(12.215, 12.215, 12.215)","(20.53, 20.53, 20.53)","(23.114, 23.114, 23.114)","(30.68, 30.68, 30.68)","(36.522, 36.522, 36.522)","(13.085, 13.085, 13.085)","(21.105, 21.105, 21.105)","(22.145, 22.145, 22.145)","(19.343, 19.343, 19.343)"
18,s20w90_25_75,100,21966.637170038048,"(21.046, 21.046, 21.046)","(11.773, 11.773, 11.773)","(19.756, 19.756, 19.756)","(23.0, 23.0, 23.0)","(30.105, 30.105, 30.105)","(35.762, 35.762, 35.762)","(15.141, 15.141, 15.141)","(21.476, 21.476, 21.476)","(22.739, 22.739, 22.739)","(20.0, 20.0, 20.0)"
19,w90,100,22865.340560474317,"(22.014, 22.014, 22.014)","(11.896, 11.896, 11.896)","(19.75, 19.75, 19.75)","(22.702, 22.702, 22.702)","(29.556, 29.556, 29.556)","(35.775, 35.775, 35.775)","(18.707, 18.707, 18.707)","(21.581, 21.581, 21.581)","(23.514, 23.514, 23.514)","(20.393, 20.393, 20.393)"
