,angle,batt kwh,total cost,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2
0,s20,25,37668.51346074704,"(40.0, 40.0, 40.0, 40.0)","(46.242, 46.242, 44.524, 43.685)","(49.139, 49.139, 49.139, 49.139)","(113.426, 113.426, 112.219, 112.769)","(60.0, 60.0, 55.0, 55.0)","(79.83, 79.83, 79.819, 79.791)","(38.982, 38.982, 29.891, 22.311)","(52.854, 52.854, 30.009, 23.056)","(43.0, 43.0, 23.0, 22.0)","(45.936, 45.936, 21.848, 20.208)"
1,s20w90_50_50,25,36463.41101383458,"(39.982, 39.982, 39.982, 39.982)","(39.832, 39.832, 37.096, 37.051)","(49.611, 49.611, 49.375, 46.493)","(112.744, 112.744, 112.343, 112.213)","(60.211, 60.211, 54.619, 53.179)","(79.8, 79.8, 79.8, 79.8)","(42.07, 42.07, 30.05, 22.281)","(52.731, 52.731, 29.866, 22.082)","(45.286, 45.286, 26.28, 21.445)","(45.818, 45.818, 22.338, 20.578)"
2,w90,25,37002.008572582556,"(40.0, 40.0, 40.0, 40.0)","(40.452, 40.452, 37.107, 37.029)","(55.395, 55.395, 51.495, 46.501)","(112.593, 112.593, 112.179, 112.432)","(55.121, 55.121, 55.121, 51.507)","(79.832, 79.832, 79.811, 79.804)","(42.939, 42.939, 30.168, 22.228)","(52.965, 52.965, 29.936, 21.681)","(46.0, 46.0, 25.0, 22.0)","(45.972, 45.972, 23.852, 20.643)"
3,s20,50,31390.975530423868,"(32.967, 32.967, 30.975, 30.891)","(34.013, 34.013, 32.353, 32.329)","(42.932, 42.932, 42.067, 41.507)","(53.263, 53.263, 41.793, 41.704)","(45.815, 45.815, 45.815, 45.815)","(62.311, 62.311, 62.311, 62.311)","(25.977, 25.977, 17.035, 16.009)","(39.0, 39.0, 21.0, 19.0)","(32.707, 32.707, 21.229, 17.655)","(35.748, 35.748, 22.894, 14.665)"
4,s20w90_50_50,50,29946.393129760512,"(33.073, 33.073, 32.211, 29.754)","(29.006, 29.006, 28.049, 26.982)","(43.446, 43.446, 38.987, 37.366)","(38.487, 38.487, 38.45, 38.23)","(45.908, 45.908, 44.033, 43.87)","(62.309, 62.309, 62.309, 62.309)","(28.91, 28.91, 16.023, 15.882)","(42.0, 42.0, 21.0, 18.0)","(35.801, 35.801, 26.432, 16.763)","(35.92, 35.92, 24.023, 14.769)"
5,w90,50,30268.7619529061,"(33.0, 33.0, 32.0, 30.0)","(28.944, 28.944, 27.007, 26.882)","(35.342, 35.342, 35.342, 35.336)","(38.91, 38.91, 38.283, 37.358)","(42.481, 42.481, 42.481, 42.461)","(62.303, 62.303, 62.303, 62.301)","(31.99, 31.99, 15.991, 15.668)","(42.0, 42.0, 22.0, 17.0)","(36.494, 36.494, 29.233, 16.734)","(36.0, 36.0, 25.0, 15.0)"
6,s20,75,27156.308690423484,"(25.952, 25.952, 24.055, 23.915)","(25.87, 25.87, 24.972, 24.866)","(35.083, 35.083, 35.083, 35.083)","(36.0, 36.0, 35.0, 34.0)","(39.021, 39.021, 39.021, 39.021)","(52.831, 52.831, 51.055, 50.424)","(18.946, 18.946, 17.119, 10.947)","(29.0, 29.0, 21.0, 14.0)","(30.156, 30.156, 29.099, 12.256)","(26.035, 26.035, 22.71, 10.172)"
7,s20w90_50_50,75,25281.331102257274,"(30.0, 30.0, 30.0, 21.0)","(19.392, 19.392, 19.392, 19.392)","(28.434, 28.434, 28.434, 28.434)","(33.0, 33.0, 32.0, 30.0)","(38.757, 38.757, 37.202, 36.769)","(48.82, 48.82, 48.705, 48.705)","(19.923, 19.923, 19.923, 9.663)","(32.0, 32.0, 21.0, 13.0)","(33.37, 33.37, 28.982, 12.267)","(27.657, 27.657, 25.222, 10.184)"
8,w90,75,25578.19809165771,"(26.151, 26.151, 24.271, 21.733)","(18.819, 18.819, 18.052, 17.571)","(29.07, 29.07, 27.036, 26.649)","(29.644, 29.644, 29.644, 29.635)","(35.637, 35.637, 35.637, 35.637)","(48.779, 48.779, 48.687, 48.624)","(26.0, 26.0, 17.0, 10.0)","(31.982, 31.982, 21.989, 11.877)","(35.135, 35.135, 32.16, 12.631)","(28.728, 28.728, 25.512, 10.371)"
9,s20,100,23336.344956775716,"(19.411, 19.411, 19.411, 18.514)","(18.386, 18.386, 18.386, 18.386)","(29.0, 29.0, 29.0, 29.0)","(28.879, 28.879, 28.005, 27.888)","(35.884, 35.884, 34.336, 33.405)","(42.925, 42.925, 41.003, 40.576)","(12.942, 12.942, 12.835, 7.543)","(23.0, 23.0, 21.0, 9.0)","(29.98, 29.98, 29.938, 7.671)","(18.646, 18.646, 18.645, 6.838)"
