,angle,batt kwh,total cost,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2
0,s20,25,29778.734529303507,"(39.961, 39.961, 39.961, 39.961)","(52.101, 52.101, 50.253, 43.955)","(49.345, 49.345, 49.345, 49.345)","(112.414, 112.414, 112.168, 112.395)","(54.693, 54.693, 54.693, 54.693)","(79.789, 79.789, 79.789, 79.789)","(40.535, 40.535, 27.831, 23.212)","(51.282, 51.282, 35.439, 24.632)","(43.908, 43.908, 37.447, 22.371)","(45.318, 45.318, 26.492, 21.082)"
1,s20w90_75_25,25,28819.211940825855,"(39.954, 39.954, 39.954, 39.954)","(38.645, 38.645, 38.645, 38.645)","(47.673, 47.673, 47.673, 47.673)","(112.599, 112.599, 112.158, 112.468)","(54.074, 54.074, 54.074, 54.074)","(79.79, 79.79, 79.79, 79.79)","(41.023, 41.023, 27.162, 23.336)","(51.402, 51.402, 37.247, 23.6)","(44.317, 44.317, 36.758, 22.256)","(45.625, 45.625, 26.622, 20.99)"
2,s20w90_50_50,25,28438.90699802633,"(39.962, 39.962, 39.962, 39.962)","(41.916, 41.916, 37.237, 37.041)","(53.558, 53.558, 50.875, 46.881)","(112.789, 112.789, 112.718, 112.183)","(53.463, 53.463, 53.463, 53.463)","(79.784, 79.784, 79.784, 79.784)","(41.424, 41.424, 27.588, 23.56)","(51.518, 51.518, 36.058, 23.397)","(44.74, 44.74, 38.072, 22.142)","(45.934, 45.934, 27.521, 21.154)"
3,s20w90_25_75,25,28569.482729442156,"(39.954, 39.954, 39.954, 39.954)","(42.145, 42.145, 37.135, 37.034)","(53.609, 53.609, 53.432, 46.49)","(112.629, 112.629, 112.172, 112.618)","(52.855, 52.855, 52.855, 52.855)","(79.784, 79.784, 79.784, 79.784)","(41.894, 41.894, 26.915, 23.442)","(51.638, 51.638, 38.196, 22.37)","(45.173, 45.173, 37.84, 22.346)","(46.25, 46.25, 28.981, 21.02)"
4,w90,25,29449.094171722478,"(40.0, 40.0, 40.0, 40.0)","(45.323, 45.323, 37.042, 37.025)","(57.315, 57.315, 50.452, 46.493)","(113.444, 113.444, 112.157, 113.226)","(52.246, 52.246, 52.246, 52.246)","(79.782, 79.782, 79.782, 79.782)","(43.639, 43.639, 27.774, 23.425)","(51.751, 51.751, 37.345, 22.731)","(45.6, 45.6, 38.444, 22.176)","(46.561, 46.561, 28.473, 21.025)"
5,s20,50,25328.503620557418,"(30.787, 30.787, 30.787, 30.787)","(41.753, 41.753, 32.558, 32.521)","(42.427, 42.427, 42.427, 42.427)","(59.683, 59.683, 42.469, 41.766)","(48.921, 48.921, 47.206, 46.438)","(62.302, 62.302, 62.302, 62.302)","(28.117, 28.117, 28.117, 15.75)","(39.033, 39.033, 39.033, 20.446)","(34.114, 34.114, 34.114, 16.789)","(35.496, 35.496, 35.496, 14.793)"
6,s20w90_75_25,50,24029.36069192273,"(31.032, 31.032, 31.032, 31.032)","(29.903, 29.903, 29.903, 29.903)","(39.0, 39.0, 39.0, 39.0)","(39.0, 39.0, 39.0, 39.0)","(45.915, 45.915, 45.063, 44.919)","(62.295, 62.295, 62.295, 62.295)","(29.092, 29.092, 29.051, 20.348)","(39.131, 39.131, 39.131, 20.394)","(34.561, 34.561, 34.561, 17.321)","(35.798, 35.798, 35.798, 14.945)"
7,s20w90_50_50,50,23625.2987878514,"(31.789, 31.789, 31.789, 30.74)","(28.51, 28.51, 28.51, 28.229)","(38.957, 38.957, 38.07, 37.676)","(38.425, 38.425, 38.425, 38.425)","(45.733, 45.733, 45.003, 44.251)","(62.295, 62.295, 62.295, 62.295)","(30.132, 30.132, 30.132, 15.684)","(39.264, 39.264, 39.264, 20.451)","(34.999, 34.999, 34.999, 17.929)","(36.112, 36.112, 36.112, 14.948)"
8,s20w90_25_75,50,23762.64425940874,"(32.597, 32.597, 32.597, 30.259)","(28.935, 28.935, 26.994, 26.896)","(39.0, 39.0, 37.0, 37.0)","(38.084, 38.084, 38.084, 38.066)","(45.908, 45.908, 44.02, 43.836)","(62.3, 62.3, 62.3, 62.3)","(31.665, 31.665, 31.665, 15.189)","(39.413, 39.413, 39.413, 20.207)","(36.061, 36.061, 36.061, 17.707)","(36.435, 36.435, 36.435, 14.943)"
9,w90,50,24658.38459385592,"(33.352, 33.352, 33.352, 30.067)","(28.905, 28.905, 27.019, 26.902)","(38.811, 38.811, 36.976, 36.298)","(38.902, 38.902, 38.032, 37.844)","(45.712, 45.712, 44.005, 43.252)","(62.297, 62.297, 62.297, 62.297)","(33.72, 33.72, 33.72, 15.92)","(39.568, 39.568, 39.568, 20.493)","(37.169, 37.169, 37.169, 17.463)","(36.746, 36.746, 36.746, 15.084)"
