,angle,batt kwh,total cost,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2
0,s20,25,24720.062737361513,"(39.987, 41.42, 9.257)","(45.83, 45.83, 3.435)","(56.548, 60.614, 22.467)","(60.67, 71.89, 19.939)","(61.037, 67.237, 46.294)","(79.785, 82.26, 82.283)","(46.0, 35.0, 15.0)","(53.0, 29.0, 15.0)","(46.0, 35.0, 12.0)","(46.439, 49.598, 17.725)"
1,w90,25,22194.431164162168,"(41.829, 44.242, 4.514)","(37.031, 39.376, 0.026)","(46.624, 54.15, 17.637)","(80.0, 80.0, 0.0)","(65.356, 69.754, 23.098)","(79.779, 81.099, 81.155)","(53.0, 35.0, 12.0)","(53.0, 29.0, 12.0)","(49.0, 39.0, 12.0)","(49.0, 36.0, 18.0)"
2,s20w90,25,22718.779238991927,"(40.856, 54.879, 4.549)","(37.947, 41.119, 0.0)","(48.926, 50.217, 19.951)","(79.888, 80.122, 2.65)","(60.049, 61.554, 35.872)","(79.785, 82.237, 82.238)","(46.0, 35.0, 13.0)","(53.0, 29.0, 14.0)","(46.489, 53.709, 11.218)","(49.0, 36.0, 18.0)"
3,s20,50,18375.492167120763,"(34.826, 38.564, 0.0)","(35.313, 38.549, 0.055)","(52.11, 56.95, 10.948)","(49.21, 53.366, 8.696)","(59.162, 68.878, 26.634)","(65.303, 68.135, 58.447)","(32.996, 35.322, 1.959)","(42.0, 29.0, 4.0)","(38.315, 40.725, 0.0)","(36.671, 43.32, 6.409)"
4,w90,50,16033.853966314233,"(36.898, 39.223, 0.038)","(27.279, 30.101, 0.074)","(37.24, 48.567, 7.216)","(38.166, 42.686, 0.035)","(55.98, 58.438, 6.661)","(74.66, 77.438, 39.295)","(43.0, 26.0, 0.0)","(42.0, 30.0, 0.0)","(40.832, 47.117, 0.0)","(37.487, 43.211, 6.757)"
5,s20w90,50,16543.797167824,"(36.0, 33.0, 0.0)","(29.461, 30.052, 0.0)","(43.532, 49.376, 8.728)","(39.195, 40.717, 0.0)","(61.359, 69.792, 11.796)","(98.109, 98.558, 19.838)","(36.0, 29.0, 0.0)","(40.0, 30.0, 0.0)","(39.597, 43.644, 0.0)","(37.084, 49.352, 6.572)"
6,s20,75,14601.088835020866,"(30.746, 34.62, 0.0)","(28.22, 31.578, 0.0)","(47.921, 49.175, 0.0)","(45.45, 50.06, 0.103)","(59.47, 61.328, 11.995)","(60.074, 61.146, 39.842)","(26.767, 30.343, 0.0)","(30.416, 33.33, 0.0)","(34.839, 42.113, 0.0)","(28.197, 29.21, 0.0)"
7,w90,75,12692.271639386585,"(33.0, 26.0, 0.0)","(19.591, 21.836, 0.001)","(32.552, 36.748, 0.021)","(30.241, 33.519, 0.017)","(47.376, 50.582, 0.096)","(84.804, 88.359, 4.994)","(36.0, 19.0, 0.0)","(35.701, 41.109, 0.0)","(37.294, 41.188, 0.0)","(29.297, 35.37, 0.0)"
8,s20w90,75,13157.441649842973,"(33.0, 26.0, 0.0)","(21.598, 26.981, 0.012)","(38.345, 39.152, 0.0)","(32.042, 35.596, 0.019)","(56.0, 56.0, 0.0)","(78.989, 87.429, 15.876)","(30.0, 20.0, 0.0)","(33.064, 39.504, 0.0)","(36.085, 39.299, 0.0)","(28.63, 30.156, 0.016)"
9,s20,100,12231.840839921566,"(28.648, 32.001, 0.003)","(21.577, 24.474, 0.0)","(40.143, 41.744, 0.0)","(37.282, 41.45, 0.094)","(51.349, 61.764, 7.431)","(59.406, 62.379, 25.161)","(20.88, 23.158, 0.0)","(27.178, 33.274, 0.0)","(31.762, 37.837, 0.0)","(21.081, 22.911, 0.0)"
10,w90,100,10399.585121253956,"(29.0, 26.0, 0.0)","(13.035, 17.306, 0.0)","(26.336, 32.089, 0.0)","(23.393, 29.065, 0.0)","(37.865, 43.918, 0.0)","(65.665, 73.079, 1.504)","(32.0, 20.0, 0.0)","(32.454, 38.793, 0.01)","(33.886, 37.113, 0.0)","(24.246, 26.565, 0.0)"
11,s20w90,100,10671.049474692974,"(27.94, 29.832, 0.0)","(14.489, 17.829, 0.0)","(30.799, 38.59, 0.047)","(25.712, 26.674, 0.0)","(43.423, 47.805, 0.912)","(59.431, 64.083, 13.745)","(26.0, 16.0, 0.0)","(29.79, 30.347, 0.047)","(32.817, 35.933, 0.0)","(21.447, 24.238, 0.007)"
12,s20,125,9979.24846775495,"(26.567, 29.029, 0.0)","(15.15, 18.244, 0.0)","(32.641, 34.574, 0.005)","(30.713, 36.521, 0.0)","(45.761, 47.813, 1.741)","(39.773, 48.181, 26.025)","(16.661, 19.961, 0.0)","(24.106, 28.184, 0.0)","(28.907, 29.3, 0.061)","(16.0, 13.0, 0.0)"
13,w90,125,8681.48019573978,"(25.581, 28.711, 0.0)","(12.06, 12.95, 0.006)","(20.823, 23.507, 0.0)","(19.612, 25.777, 0.003)","(32.229, 35.203, 0.0)","(45.74, 46.556, 1.628)","(26.0, 19.0, 0.0)","(29.28, 33.914, 0.0)","(30.942, 36.624, 0.025)","(21.555, 27.579, 0.0)"
14,s20w90,125,8716.126436384377,"(25.911, 27.377, 0.029)","(9.528, 10.061, 0.0)","(23.91, 26.518, 0.006)","(19.918, 24.351, 0.0)","(35.656, 41.018, 0.0)","(52.812, 53.066, 3.787)","(20.401, 24.541, 0.0)","(26.702, 30.434, 0.001)","(29.984, 33.465, 0.0)","(16.443, 20.713, 0.0)"
15,s20,150,8150.799841220726,"(24.608, 29.789, 0.0)","(10.687, 15.84, 0.0)","(25.549, 30.706, 0.0)","(24.467, 27.856, 0.008)","(37.926, 39.366, 0.0)","(36.934, 61.966, 13.412)","(13.77, 18.691, 0.0)","(21.083, 25.457, 0.0)","(26.304, 30.982, 0.071)","(13.067, 18.997, 0.0)"
16,w90,150,7724.318202719404,"(23.475, 27.29, 0.0)","(11.116, 16.084, 0.0)","(18.759, 19.008, 0.0)","(17.941, 19.184, 0.0)","(30.261, 31.802, 0.0)","(38.167, 46.414, 0.0)","(21.707, 26.574, 0.0)","(26.263, 34.144, 0.0)","(28.236, 29.305, 0.0)","(19.0, 19.0, 0.0)"
17,s20w90,150,7077.685019054084,"(23.931, 28.47, 0.0)","(7.889, 10.527, 0.0)","(17.415, 20.007, 0.0)","(16.129, 21.02, 0.035)","(28.62, 29.275, 0.048)","(38.374, 49.032, 0.817)","(16.911, 20.102, 0.006)","(23.688, 26.712, 0.0)","(27.325, 28.98, 0.0)","(14.072, 17.633, 0.0)"
