,angle,batt kwh,total cost,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2
0,s20,100,9851.467762370083,"(18.919, 18.919, 0.043)","(18.742, 18.742, 0.074)","(34.673, 34.605, 0.007)","(30.955, 30.955, 0.0)","(48.104, 48.104, 0.0)","(55.873, 55.858, 21.968)","(12.022, 12.022, 0.0)","(20.659, 18.726, 0.0)","(25.008, 24.998, 0.0)","(18.621, 15.968, 0.0)"
1,w90,100,7371.241029941579,"(22.179, 18.969, 0.0)","(11.716, 11.716, 11.716)","(19.776, 19.776, 0.0)","(22.519, 22.519, 2.502)","(34.103, 34.103, 0.0)","(56.705, 56.702, 0.0)","(18.71, 12.156, 0.0)","(21.757, 20.713, 0.0)","(28.713, 28.713, 0.0)","(20.218, 15.96, 0.0)"
2,s20w90,100,8222.181684833404,"(20.064, 18.778, 0.0)","(11.996, 11.996, 11.989)","(21.433, 21.421, 0.017)","(23.193, 23.193, 0.016)","(36.71, 36.71, 0.008)","(66.682, 66.682, 0.038)","(13.193, 12.842, 0.0)","(21.243, 16.073, 0.025)","(26.897, 26.786, 0.0)","(19.356, 19.292, 0.0)"
3,s20,200,3719.3341028703576,"(12.853, 12.853, 0.0)","(4.71, 4.71, 0.343)","(10.116, 10.116, 0.007)","(12.07, 12.037, 0.0)","(17.989, 17.989, 0.042)","(23.116, 23.1, 0.0)","(4.237, 4.221, 0.0)","(11.795, 11.795, 0.0)","(15.938, 15.938, 0.0)","(5.31, 5.31, 0.0)"
4,w90,200,2847.0126849775884,"(15.095, 8.934, 0.0)","(0.67, 0.67, 0.0)","(4.333, 4.333, 0.0)","(9.946, 9.946, 1.131)","(9.711, 9.692, 0.0)","(25.408, 25.401, 0.0)","(8.054, 8.054, 0.0)","(14.569, 14.561, 0.0)","(19.081, 19.069, 0.015)","(7.303, 4.234, 0.0)"
5,s20w90,200,3285.0913676968544,"(13.0, 13.0, 0.0)","(1.759, 1.759, 1.759)","(5.209, 5.209, 0.0)","(10.064, 10.064, 0.0)","(11.395, 11.384, 0.01)","(23.513, 23.513, 0.019)","(4.962, 4.962, 0.0)","(13.15, 13.13, 0.0)","(17.514, 17.506, 0.012)","(5.575, 5.575, 0.0)"
6,s20,400,1340.2409436560106,"(8.905, 8.905, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.418, 0.418, 0.019)","(16.028, 16.028, 0.0)","(0.0, 0.0, 0.0)","(6.493, 6.493, 0.0)","(10.034, 9.981, 0.096)","(2.221, 1.544, 0.0)"
7,w90,400,1080.1367431952256,"(9.216, 9.216, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(6.0, 0.0, 0.0)","(1.698, 1.557, 0.005)","(17.341, 17.33, 0.037)","(1.107, 1.107, 0.0)","(8.915, 8.873, 0.044)","(12.541, 12.269, 0.0)","(2.939, 2.879, 0.036)"
8,s20w90,400,1374.3372286109195,"(9.0, 9.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(16.546, 16.514, 0.075)","(0.0, 0.0, 0.0)","(7.545, 7.545, 0.0)","(11.244, 11.244, 0.012)","(2.413, 2.16, 0.031)"
9,s20,600,793.7582443539502,"(5.37, 4.354, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(11.836, 11.623, 0.0)","(0.0, 0.0, 0.0)","(2.636, 2.636, 0.0)","(7.855, 7.855, 0.0)","(0.0, 0.0, 0.0)"
10,w90,600,426.94412006392207,"(5.433, 5.231, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(6.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(13.079, 13.056, 0.035)","(0.0, 0.0, 0.0)","(4.38, 4.38, 0.0)","(10.268, 10.254, 0.005)","(0.95, 0.0, 0.0)"
11,s20w90,600,828.1219681672007,"(5.241, 5.241, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(12.348, 12.348, 0.0)","(0.0, 0.0, 0.0)","(3.458, 3.458, 0.0)","(9.06, 9.06, 0.081)","(0.006, 0.006, 0.0)"
12,s20,800,430.63276900126294,"(2.641, 2.326, 0.093)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(8.037, 7.926, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(5.716, 5.716, 0.0)","(0.0, 0.0, 0.0)"
13,w90,800,-24.99504733627697,"(2.232, 2.232, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(6.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(8.959, 8.931, 0.001)","(0.0, 0.0, 0.0)","(0.809, 0.809, 0.0)","(8.228, 7.918, 0.0)","(0.0, 0.0, 0.0)"
14,s20w90,800,405.31067063953776,"(2.266, 1.786, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(8.173, 8.173, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(7.059, 6.753, 0.0)","(0.0, 0.0, 0.0)"
