# spike on 2018-10-16 replaced with 2018-10-13,,,
Datetime (PST),True Datetime (PST),Load (kW),Weekday
1901-01-01 00:00,2019-01-01 00:00,6.2343509,3
1901-01-01 00:15,2019-01-01 00:15,6.2343509,3
1901-01-01 00:30,2019-01-01 00:30,6.2343509,3
1901-01-01 00:45,2019-01-01 00:45,6.2343509,3
1901-01-01 01:00,2019-01-01 01:00,6.2343509,3
1901-01-01 01:15,2019-01-01 01:15,6.2343509,3
1901-01-01 01:30,2019-01-01 01:30,6.2343509,3
1901-01-01 01:45,2019-01-01 01:45,6.2343509,3
1901-01-01 02:00,2019-01-01 02:00,6.2343509,3
1901-01-01 02:15,2019-01-01 02:15,6.2343509,3
1901-01-01 02:30,2019-01-01 02:30,6.2343509,3
1901-01-01 02:45,2019-01-01 02:45,3.324987147,3
1901-01-01 03:00,2019-01-01 03:00,0,3
1901-01-01 03:15,2019-01-01 03:15,0,3
1901-01-01 03:30,2019-01-01 03:30,0,3
1901-01-01 03:45,2019-01-01 03:45,0,3
1901-01-01 04:00,2019-01-01 04:00,0,3
1901-01-01 04:15,2019-01-01 04:15,0,3
1901-01-01 04:30,2019-01-01 04:30,0,3
1901-01-01 04:45,2019-01-01 04:45,0,3
1901-01-01 05:00,2019-01-01 05:00,0,3
1901-01-01 05:15,2019-01-01 05:15,0,3
1901-01-01 05:30,2019-01-01 05:30,0,3
1901-01-01 05:45,2019-01-01 05:45,0,3
1901-01-01 06:00,2019-01-01 06:00,0,3
1901-01-01 06:15,2019-01-01 06:15,0,3
1901-01-01 06:30,2019-01-01 06:30,0,3
1901-01-01 06:45,2019-01-01 06:45,0,3
1901-01-01 07:00,2019-01-01 07:00,0,3
1901-01-01 07:15,2019-01-01 07:15,0,3
1901-01-01 07:30,2019-01-01 07:30,0,3
1901-01-01 07:45,2019-01-01 07:45,0,3
1901-01-01 08:00,2019-01-01 08:00,0,3
1901-01-01 08:15,2019-01-01 08:15,0,3
1901-01-01 08:30,2019-01-01 08:30,0,3
1901-01-01 08:45,2019-01-01 08:45,0,3
1901-01-01 09:00,2019-01-01 09:00,0,3
1901-01-01 09:15,2019-01-01 09:15,0,3
1901-01-01 09:30,2019-01-01 09:30,0,3
1901-01-01 09:45,2019-01-01 09:45,0.43003413,3
1901-01-01 10:00,2019-01-01 10:00,0.921501706,3
1901-01-01 10:15,2019-01-01 10:15,3.687444173,3
1901-01-01 10:30,2019-01-01 10:30,6.848521278,3
1901-01-01 10:45,2019-01-01 10:45,7.030972698,3
1901-01-01 11:00,2019-01-01 11:00,7.239488606,3
1901-01-01 11:15,2019-01-01 11:15,7.238481317,3
1901-01-01 11:30,2019-01-01 11:30,7.237330131,3
1901-01-01 11:45,2019-01-01 11:45,7.237330131,3
1901-01-01 12:00,2019-01-01 12:00,6.62585187,3
1901-01-01 12:15,2019-01-01 12:15,3.161077105,3
1901-01-01 12:30,2019-01-01 12:30,0,3
1901-01-01 12:45,2019-01-01 12:45,0,3
1901-01-01 13:00,2019-01-01 13:00,1.539379898,3
1901-01-01 13:15,2019-01-01 13:15,4.636408495,3
1901-01-01 13:30,2019-01-01 13:30,6.165251108,3
1901-01-01 13:45,2019-01-01 13:45,6.165251108,3
1901-01-01 14:00,2019-01-01 14:00,6.165251108,3
1901-01-01 14:15,2019-01-01 14:15,4.971739174,3
1901-01-01 14:30,2019-01-01 14:30,6.530987203,3
1901-01-01 14:45,2019-01-01 14:45,9.87185768,3
1901-01-01 15:00,2019-01-01 15:00,9.87185768,3
1901-01-01 15:15,2019-01-01 15:15,9.87185768,3
1901-01-01 15:30,2019-01-01 15:30,9.87185768,3
1901-01-01 15:45,2019-01-01 15:45,9.87185768,3
1901-01-01 16:00,2019-01-01 16:00,9.87185768,3
1901-01-01 16:15,2019-01-01 16:15,9.87185768,3
1901-01-01 16:30,2019-01-01 16:30,6.948596013,3
1901-01-01 16:45,2019-01-01 16:45,3.607725535,3
1901-01-01 17:00,2019-01-01 17:00,3.607725535,3
1901-01-01 17:15,2019-01-01 17:15,3.463500183,3
1901-01-01 17:30,2019-01-01 17:30,3.29867121,3
1901-01-01 17:45,2019-01-01 17:45,3.29867121,3
1901-01-01 18:00,2019-01-01 18:00,1.759291312,3
1901-01-01 18:15,2019-01-01 18:15,0,3
1901-01-01 18:30,2019-01-01 18:30,0,3
1901-01-01 18:45,2019-01-01 18:45,0,3
1901-01-01 19:00,2019-01-01 19:00,0,3
1901-01-01 19:15,2019-01-01 19:15,0,3
1901-01-01 19:30,2019-01-01 19:30,0,3
1901-01-01 19:45,2019-01-01 19:45,0,3
1901-01-01 20:00,2019-01-01 20:00,0,3
1901-01-01 20:15,2019-01-01 20:15,0,3
1901-01-01 20:30,2019-01-01 20:30,0,3
1901-01-01 20:45,2019-01-01 20:45,0,3
1901-01-01 21:00,2019-01-01 21:00,0,3
1901-01-01 21:15,2019-01-01 21:15,0,3
1901-01-01 21:30,2019-01-01 21:30,0,3
1901-01-01 21:45,2019-01-01 21:45,0,3
1901-01-01 22:00,2019-01-01 22:00,0,3
1901-01-01 22:15,2019-01-01 22:15,0,3
1901-01-01 22:30,2019-01-01 22:30,0,3
1901-01-01 22:45,2019-01-01 22:45,0,3
1901-01-01 23:00,2019-01-01 23:00,0,3
1901-01-01 23:15,2019-01-01 23:15,0,3
1901-01-01 23:30,2019-01-01 23:30,0,3
1901-01-01 23:45,2019-01-01 23:45,0,3
1901-01-02 00:00,2019-01-02 00:00,0,4
1901-01-02 00:15,2019-01-02 00:15,0,4
1901-01-02 00:30,2019-01-02 00:30,0,4
1901-01-02 00:45,2019-01-02 00:45,0,4
1901-01-02 01:00,2019-01-02 01:00,0,4
1901-01-02 01:15,2019-01-02 01:15,0,4
1901-01-02 01:30,2019-01-02 01:30,0,4
1901-01-02 01:45,2019-01-02 01:45,0,4
1901-01-02 02:00,2019-01-02 02:00,0,4
1901-01-02 02:15,2019-01-02 02:15,0,4
1901-01-02 02:30,2019-01-02 02:30,0,4
1901-01-02 02:45,2019-01-02 02:45,0,4
1901-01-02 03:00,2019-01-02 03:00,0,4
1901-01-02 03:15,2019-01-02 03:15,0,4
1901-01-02 03:30,2019-01-02 03:30,0,4
1901-01-02 03:45,2019-01-02 03:45,0,4
1901-01-02 04:00,2019-01-02 04:00,0,4
1901-01-02 04:15,2019-01-02 04:15,0,4
1901-01-02 04:30,2019-01-02 04:30,0,4
1901-01-02 04:45,2019-01-02 04:45,0,4
1901-01-02 05:00,2019-01-02 05:00,0,4
1901-01-02 05:15,2019-01-02 05:15,0,4
1901-01-02 05:30,2019-01-02 05:30,0,4
1901-01-02 05:45,2019-01-02 05:45,0,4
1901-01-02 06:00,2019-01-02 06:00,2.871081649,4
1901-01-02 06:15,2019-01-02 06:15,6.152317819,4
1901-01-02 06:30,2019-01-02 06:30,6.152317819,4
1901-01-02 06:45,2019-01-02 06:45,6.152317819,4
1901-01-02 07:00,2019-01-02 07:00,6.152317819,4
1901-01-02 07:15,2019-01-02 07:15,6.152317819,4
1901-01-02 07:30,2019-01-02 07:30,6.152317819,4
1901-01-02 07:45,2019-01-02 07:45,6.152317819,4
1901-01-02 08:00,2019-01-02 08:00,7.443671986,4
1901-01-02 08:15,2019-01-02 08:15,15.21400886,4
1901-01-02 08:30,2019-01-02 08:30,32.57082428,4
1901-01-02 08:45,2019-01-02 08:45,45.40334461,4
1901-01-02 09:00,2019-01-02 09:00,49.8669113,4
1901-01-02 09:15,2019-01-02 09:15,53.37785806,4
1901-01-02 09:30,2019-01-02 09:30,53.37785806,4
1901-01-02 09:45,2019-01-02 09:45,55.4582786,4
1901-01-02 10:00,2019-01-02 10:00,57.85007733,4
1901-01-02 10:15,2019-01-02 10:15,56.94803986,4
1901-01-02 10:30,2019-01-02 10:30,58.79880863,4
1901-01-02 10:45,2019-01-02 10:45,61.47306331,4
1901-01-02 11:00,2019-01-02 11:00,59.41208868,4
1901-01-02 11:15,2019-01-02 11:15,56.41178291,4
1901-01-02 11:30,2019-01-02 11:30,52.38827947,4
