# all power in kw,,,,,,,
# columns with a mix of s20 and w90 are named <pct_of_array_w90>w90,,,,,,,
Datetime,s20,w90,0w90,25w90,50w90,75w90,100w90
2019-01-01 0:00,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474
2019-01-01 1:00,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474
2019-01-01 2:00,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474
2019-01-01 3:00,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474
2019-01-01 4:00,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474
2019-01-01 5:00,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474
2019-01-01 6:00,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474
2019-01-01 7:00,1.86729263,1.40011763,1.86729263,1.51691138,1.63370513,1.51691138,1.40011763
2019-01-01 8:00,37.1141,42.62455,37.1141,41.2469375,39.869325,41.2469375,42.62455
2019-01-01 9:00,72.34635,58.22905,72.34635,61.758375,65.2877,61.758375,58.22905
2019-01-01 10:00,90.56525,43.18705,90.56525,55.0316,66.87615,55.0316,43.18705
2019-01-01 11:00,100.0876,22.3098,100.0876,41.75425,61.1987,41.75425,22.3098
2019-01-01 12:00,101.3025,17.9763,101.3025,38.80785,59.6394,38.80785,17.9763
2019-01-01 13:00,94.05165,44.74755,94.05165,57.073575,69.3996,57.073575,44.74755
2019-01-01 14:00,78.6349,68.364,78.6349,70.931725,73.49945,70.931725,68.364
2019-01-01 15:00,54.17235,76.70955,54.17235,71.07525,65.44095,71.07525,76.70955
2019-01-01 16:00,18.211555,48.9471,18.211555,41.26321375,33.5793275,41.26321375,48.9471
2019-01-01 17:00,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474
2019-01-01 18:00,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474
2019-01-01 19:00,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474
2019-01-01 20:00,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474
2019-01-01 21:00,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474
2019-01-01 22:00,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474
2019-01-01 23:00,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474
2019-01-02 0:00,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474
2019-01-02 1:00,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474,-0.00815474
